date,energy_mwh,fuel,percentage
2020-12-17 19:00:00,6130,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0452275024532046
2020-12-18 19:00:00,83058,ΑΕΡΙΟ,0.64
2020-12-18 19:00:00,6264,ΑΙΟΛΙΚΑ,0.05
2020-12-18 19:00:00,7607,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.06
2020-12-18 19:00:00,26900,ΛΙΓΝΙΤΗΣ,0.21
2020-12-18 19:00:00,129790,ΣΥΝΟΛΟ,1.0
2020-12-18 19:00:00,5961,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.04
2020-12-19 19:00:00,78281,ΑΕΡΙΟ,0.6210510448566396
2020-12-19 19:00:00,8874,ΑΙΟΛΙΚΑ,0.07
2020-12-19 19:00:00,8457,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0670945527823175
2020-12-19 19:00:00,26907,ΛΙΓΝΙΤΗΣ,0.2134696856703108
2020-12-19 19:00:00,126046,ΣΥΝΟΛΟ,0.9995971312060676
2020-12-19 19:00:00,3527,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0279818478967995
2020-12-20 19:00:00,79261,ΑΕΡΙΟ,0.588194696964075
2020-12-20 19:00:00,16952,ΑΙΟΛΙΚΑ,0.1258005387635154
2020-12-20 19:00:00,5943,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0441029142208336
2020-12-20 19:00:00,26822,ΛΙΓΝΙΤΗΣ,0.1990456613210837
2020-12-20 19:00:00,134753,ΣΥΝΟΛΟ,1.0
2020-12-20 19:00:00,5775,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.042856188730492
2020-12-21 19:00:00,84379,ΑΕΡΙΟ,0.6246825837497686
2020-12-21 19:00:00,7588,ΑΙΟΛΙΚΑ,0.0561761984082916
2020-12-21 19:00:00,6767,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0500980936516749
2020-12-21 19:00:00,31314,ΛΙΓΝΙΤΗΣ,0.2318267629094947
2020-12-21 19:00:00,135075,ΣΥΝΟΛΟ,1.0
2020-12-21 19:00:00,5027,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0372163612807699
2020-12-22 19:00:00,74148,ΑΕΡΙΟ,0.5758352360095056
2020-12-22 19:00:00,5162,ΑΙΟΛΙΚΑ,0.0400882220461923
2020-12-22 19:00:00,14454,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.1122501281394156
2020-12-22 19:00:00,28923,ΛΙΓΝΙΤΗΣ,0.2246167466567261
2020-12-22 19:00:00,128766,ΣΥΝΟΛΟ,1.0
2020-12-22 19:00:00,6079,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0472096671481602
2020-12-23 19:00:00,52056,ΑΕΡΙΟ,0.4182279782755407
2020-12-23 19:00:00,21691,ΑΙΟΛΙΚΑ,0.1742696918083363
2020-12-23 19:00:00,18883,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.1517096763826847
2020-12-23 19:00:00,27146,ΛΙΓΝΙΤΗΣ,0.2180962175016871
2020-12-23 19:00:00,124468,ΣΥΝΟΛΟ,1.0
2020-12-23 19:00:00,4692,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0376964360317511
2020-12-24 19:00:00,34991,ΑΕΡΙΟ,0.32
2020-12-24 19:00:00,38309,ΑΙΟΛΙΚΑ,0.35
2020-12-24 19:00:00,12682,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.12
2020-12-24 19:00:00,17333,ΛΙΓΝΙΤΗΣ,0.16
2020-12-24 19:00:00,108138,ΣΥΝΟΛΟ,1.0
2020-12-24 19:00:00,4823,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.05
2020-12-25 19:00:00,30389,ΑΕΡΙΟ,0.2865913463352069
2020-12-25 19:00:00,48195,ΑΙΟΛΙΚΑ,0.4545154475838394
2020-12-25 19:00:00,6766,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0638085178618582
2020-12-25 19:00:00,15469,ΛΙΓΝΙΤΗΣ,0.1458844166132257
2020-12-25 19:00:00,106036,ΣΥΝΟΛΟ,1.0
2020-12-25 19:00:00,5217,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0492002716058697
2020-12-26 19:00:00,27985,ΑΕΡΙΟ,0.2529877596774485
2020-12-26 19:00:00,52457,ΑΙΟΛΙΚΑ,0.4742175776094307
2020-12-26 19:00:00,8705,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0786942450595744
2020-12-26 19:00:00,16121,ΛΙΓΝΙΤΗΣ,0.1457357753710969
2020-12-26 19:00:00,110618,ΣΥΝΟΛΟ,1.0
2020-12-26 19:00:00,5350,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0483646422824495
2020-12-27 19:00:00,32760,ΑΕΡΙΟ,0.29
2020-12-27 19:00:00,43543,ΑΙΟΛΙΚΑ,0.39
2020-12-27 19:00:00,15058,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.13
2020-12-27 19:00:00,15900,ΛΙΓΝΙΤΗΣ,0.14
2020-12-27 19:00:00,113234,ΣΥΝΟΛΟ,1.0
2020-12-27 19:00:00,5973,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.05
2020-12-28 19:00:00,38977,ΑΕΡΙΟ,0.3447065170288221
2020-12-28 19:00:00,53859,ΑΙΟΛΙΚΑ,0.4763206070414688
