Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Νοέμβριος,109,78
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Δεκέμβριος,109,60
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,ΕΤΗΣΙΟΣ,106,34
112,KPEATA ΓΕΝΙΚΑ,W%0,41,81
112,KPEATA ΓΕΝΙΚΑ,Ιανουάριος,101,38
112,KPEATA ΓΕΝΙΚΑ,Φεβρουάριος,100,69
112,KPEATA ΓΕΝΙΚΑ,Μάρτιος,100,27
112,KPEATA ΓΕΝΙΚΑ,Απρίλιος,100,27
112,KPEATA ΓΕΝΙΚΑ,Μάιος,101,68
112,KPEATA ΓΕΝΙΚΑ,Ιούνιος,101,65
112,KPEATA ΓΕΝΙΚΑ,Ιούλιος,101,21
112,KPEATA ΓΕΝΙΚΑ,Αύγουστος,102,5
112,KPEATA ΓΕΝΙΚΑ,Σεπτέμβριος,102,43
112,KPEATA ΓΕΝΙΚΑ,Οκτώβριος,103,40
112,KPEATA ΓΕΝΙΚΑ,Νοέμβριος,104,80
112,KPEATA ΓΕΝΙΚΑ,Δεκέμβριος,105,20
112,KPEATA ΓΕΝΙΚΑ,ΕΤΗΣΙΟΣ,102,9
1131,ΨAPIA NΩΠA,W%0,7,5
1131,ΨAPIA NΩΠA,Ιανουάριος,105,14
1131,ΨAPIA NΩΠA,Φεβρουάριος,106,45
1131,ΨAPIA NΩΠA,Μάρτιος,102,40
1131,ΨAPIA NΩΠA,Απρίλιος,100,58
1131,ΨAPIA NΩΠA,Μάιος,99,46
1131,ΨAPIA NΩΠA,Ιούνιος,101,66
1131,ΨAPIA NΩΠA,Ιούλιος,103,96
1131,ΨAPIA NΩΠA,Αύγουστος,105,26
1131,ΨAPIA NΩΠA,Σεπτέμβριος,107,49
1131,ΨAPIA NΩΠA,Οκτώβριος,105,68
1131,ΨAPIA NΩΠA,Νοέμβριος,106,82
1131,ΨAPIA NΩΠA,Δεκέμβριος,108,67
1131,ΨAPIA NΩΠA,ΕΤΗΣΙΟΣ,104,46
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,W%0,0,63
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Ιανουάριος,101,46
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Φεβρουάριος,101,49
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Μάρτιος,100,86
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Απρίλιος,102,30
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Μάιος,102,73
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Ιούνιος,103,44
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Ιούλιος,103,60
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Αύγουστος,103,10
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Σεπτέμβριος,103,88
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Οκτώβριος,102,17
1132,ΨAPIA KATEΨΥΓΜΕΝΑ,Νοέμβριος,103,21
