TIME;Gross consolidated debt of General Government (2024q4);INSTR_ASSETS_CLASSIFICATION;ORIG_MATURITY;CONTROL;Value
2012-Q2;Currency;F21;_Z;3;0
2012-Q2;Deposits;F2M;T;4;1246
2012-Q2;Debt securities;F3;T;5=6+7;125804
2012-Q2;Short-term;F3;S;6;12276
2012-Q2;Long-term;F3;L;7;113528
2012-Q2;Loans;F4;T;8=9+10;174737
2012-Q2;Short-term;F4;S;9;561
2012-Q2;Long-term;F4;L;10;174176
2012-Q3;Total Maastricht debt;GD;T;1=2+5+8;301208
2012-Q3;Currency and deposits;F2;T;2=3+4;1246
2012-Q3;Currency;F21;_Z;3;0
2012-Q3;Deposits;F2M;T;4;1246
2012-Q3;Debt securities;F3;T;5=6+7;125790
2012-Q3;Short-term;F3;S;6;15405
2012-Q3;Long-term;F3;L;7;110385
2012-Q3;Loans;F4;T;8=9+10;174172
2012-Q3;Short-term;F4;S;9;336
2012-Q3;Long-term;F4;L;10;173836
2012-Q4;Total Maastricht debt;GD;T;1=2+5+8;305085
2012-Q4;Currency and deposits;F2;T;2=3+4;1055
2012-Q4;Currency;F21;_Z;3;0
2012-Q4;Deposits;F2M;T;4;1055
2012-Q4;Debt securities;F3;T;5=6+7;93432
2012-Q4;Short-term;F3;S;6;15309
2012-Q4;Long-term;F3;L;7;78123
2012-Q4;Loans;F4;T;8=9+10;210598
2012-Q4;Short-term;F4;S;9;2491
2012-Q4;Long-term;F4;L;10;208107
2013-Q1;Total Maastricht debt;GD;T;1=2+5+8;306699
2013-Q1;Currency and deposits;F2;T;2=3+4;1044
2013-Q1;Currency;F21;_Z;3;0
2013-Q1;Deposits;F2M;T;4;1044
2013-Q1;Debt securities;F3;T;5=6+7;89322
2013-Q1;Short-term;F3;S;6;11475
2013-Q1;Long-term;F3;L;7;77847
2013-Q1;Loans;F4;T;8=9+10;216333
2013-Q1;Short-term;F4;S;9;502
2013-Q1;Long-term;F4;L;10;215831
2013-Q2;Total Maastricht debt;GD;T;1=2+5+8;317674
2013-Q2;Currency and deposits;F2;T;2=3+4;1251
2013-Q2;Currency;F21;_Z;3;0
2013-Q2;Deposits;F2M;T;4;1251
2013-Q2;Debt securities;F3;T;5=6+7;81965
2013-Q2;Short-term;F3;S;6;10977
2013-Q2;Long-term;F3;L;7;70988
2013-Q2;Loans;F4;T;8=9+10;234458
2013-Q2;Short-term;F4;S;9;295
2013-Q2;Long-term;F4;L;10;234163
2013-Q3;Total Maastricht debt;GD;T;1=2+5+8;318007
2013-Q3;Currency and deposits;F2;T;2=3+4;1299
2013-Q3;Currency;F21;_Z;3;0
2013-Q3;Deposits;F2M;T;4;1299
2013-Q3;Debt securities;F3;T;5=6+7;79069
2013-Q3;Short-term;F3;S;6;10877
2013-Q3;Long-term;F3;L;7;68192
2013-Q3;Loans;F4;T;8=9+10;237639
2013-Q3;Short-term;F4;S;9;282
2013-Q3;Long-term;F4;L;10;237357
2013-Q4;Total Maastricht debt;GD;T;1=2+5+8;320498
2013-Q4;Currency and deposits;F2;T;2=3+4;1088
2013-Q4;Currency;F21;_Z;3;0
2013-Q4;Deposits;F2M;T;4;1088
2013-Q4;Debt securities;F3;T;5=6+7;79194
2013-Q4;Short-term;F3;S;6;10872
2013-Q4;Long-term;F3;L;7;68322
2013-Q4;Loans;F4;T;8=9+10;240216
